StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Screen 1,Screen 2,End Coordinate,Start Coordinate,Q6,1_Q10,2_Q10,3_Q10,4_Q10,5_Q10,6_Q10,7_Q10,8_Q10,9_Q10,10_Q10,11_Q10,12_Q10,13_Q10,14_Q10,15_Q10,16_Q10,17_Q10,18_Q10,19_Q10,20_Q10,21_Q10,22_Q10,23_Q10,24_Q10,25_Q10,26_Q10,27_Q10,28_Q10,29_Q10,30_Q10,participantId,assignmentId,projectId
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you have experience climbing on a MoonBoard with the 2016 hold set?,Enter the angle in degrees of the MoonBoard 2016 you climb on.,Please write the coordinate of the end hold in the following route:,Please write the coordinate of the start hold in the following route:,What is the highest benchmark grade you have climbed on the MoonBoard 2016?,"<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_kJIYQepA1v0zAX2 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_s0L92ieTsQSzGC7 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_akLPIuekukXtwEf width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_IlaDaasAln8A6yZ width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_Fh76BA2QBFcSVW3 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_zwD36624JKwfDH3 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_RuoJ0HOI00FPtiR width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_Cx3SFkWN3X9aqWE width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_n8BICkt0Qfa6hM3 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_XTWk4QhtVAQCMEH width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_BNeBlhARQVdXFnY width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cVN6pZpdGWH839p width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4mxxWgYd2HsXxY1 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_GIG3w9ouva75QT8 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eamIGl4qlut3szk width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_arA1fCXGXtagiNl width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_jOukIWaYJZClmeX width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_850IoO4ky2FHbX3 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_vS32Zrl5qyGVnVr width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ZG3ylMwm4vOYHa7 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_elxriZMifWQjGwP width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_lSwLJrFXAsaqoJh width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_MaZUhhioRecUc6t width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_Eb2TqWWq1JZBj0r width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_sXM1R5iM6lshTOr width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7IRFXEfU097c6D5 width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_nfFp8ECZrh3w6Vs width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_KQwfdTmnvQVO84D width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_AY8Kfhqx2NFfJSW width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]","<img src=https://union.qualtrics.com/ControlPanel/Graphic.php?IM=IM_C1m7aZyBmQOksIk width=400/> - Select the grade you believe best describes the difficulty of the following route. Take your time and consider any aspects you believe influence the route's difficulty. These aspects may include the difficulty of the holds in the route, the difficulty of the moves in the route, and how easy it is to come up with beta for the route.
[Field-1]",participantId,assignmentId,projectId
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""1_QID10""}","{""ImportId"":""2_QID10""}","{""ImportId"":""3_QID10""}","{""ImportId"":""4_QID10""}","{""ImportId"":""5_QID10""}","{""ImportId"":""6_QID10""}","{""ImportId"":""7_QID10""}","{""ImportId"":""8_QID10""}","{""ImportId"":""9_QID10""}","{""ImportId"":""10_QID10""}","{""ImportId"":""11_QID10""}","{""ImportId"":""12_QID10""}","{""ImportId"":""13_QID10""}","{""ImportId"":""14_QID10""}","{""ImportId"":""15_QID10""}","{""ImportId"":""16_QID10""}","{""ImportId"":""17_QID10""}","{""ImportId"":""18_QID10""}","{""ImportId"":""19_QID10""}","{""ImportId"":""20_QID10""}","{""ImportId"":""21_QID10""}","{""ImportId"":""22_QID10""}","{""ImportId"":""23_QID10""}","{""ImportId"":""24_QID10""}","{""ImportId"":""25_QID10""}","{""ImportId"":""26_QID10""}","{""ImportId"":""27_QID10""}","{""ImportId"":""28_QID10""}","{""ImportId"":""29_QID10""}","{""ImportId"":""30_QID10""}","{""ImportId"":""participantId""}","{""ImportId"":""assignmentId""}","{""ImportId"":""projectId""}"
2023-02-16 16:40:40,2023-02-16 16:42:17,Survey Preview,,100,96,True,2023-02-16 16:42:18,R_3wuT907IRrX6ETL,,,,,42.8167,-73.9256,preview,EN,,,a,a,,V11 (8a),V12 (8a+),V11 (8a),V10 (7c+),V7 (7a+),V8 (7b/7b+),V13 (8b+),V11 (8a),V10 (7c+),V13 (8b+),V10 (7c+),V13 (8b+),V12 (8a+),V11 (8a),V9 (7c),V4 (6b/6b+),V10 (7c+),V12 (8a+),V11 (8a),V11 (8a),V9 (7c),V12 (8a+),V10 (7c+),V11 (8a),V7 (7a+),V8 (7b/7b+),V8 (7b/7b+),V11 (8a),V12 (8a+),V12 (8a+),,,
2023-02-16 17:24:04,2023-02-16 17:29:36,Survey Preview,,100,331,True,2023-02-16 17:29:37,R_vuVaeI4yiwitEd3,,,,,42.8167,-73.9256,preview,EN,,,18D,5F,V6 (6c+/7a),V9 (7c),V12 (8a+),V13 (8b+),V12 (8a+),V11 (8a),V11 (8a),V12 (8a+),V12 (8a+),V12 (8a+),V11 (8a),V11 (8a),V13 (8b+),V5 (6c),V7 (7a+),V5 (6c),V11 (8a),V5 (6c),V9 (7c),V10 (7c+),V8 (7b/7b+),V7 (7a+),V7 (7a+),V9 (7c),V13 (8b+),V12 (8a+),V7 (7a+),V4 (6b/6b+),V9 (7c),V8 (7b/7b+),V11 (8a),,,
2023-02-17 11:48:53,2023-02-17 11:50:30,Survey Preview,,100,97,True,2023-02-17 11:50:32,R_3M3b9Yw6Hosjuck,,,,,42.8167,-73.9256,preview,EN,,,d,a,V8 (7b/7b+),V11 (8a),V9 (7c),V11 (8a),V12 (8a+),V12 (8a+),V7 (7a+),V6 (6c+/7a),V10 (7c+),V5 (6c),V13 (8b+),V9 (7c),V12 (8a+),V12 (8a+),V13 (8b+),V10 (7c+),V12 (8a+),V7 (7a+),V9 (7c),V5 (6c),V10 (7c+),V5 (6c),V10 (7c+),V6 (6c+/7a),V10 (7c+),V12 (8a+),V4 (6b/6b+),V6 (6c+/7a),V4 (6b/6b+),V13 (8b+),V13 (8b+),,,
2023-02-17 12:34:45,2023-02-17 12:34:49,Survey Preview,,100,4,True,2023-02-17 12:34:50,R_ANFZAgXzmM0zz0d,,,,,42.8167,-73.9256,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17 12:35:01,2023-02-17 12:35:04,Survey Preview,,100,2,True,2023-02-17 12:35:04,R_55XjhK9zAg9zxx7,,,,,42.8167,-73.9256,preview,EN,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17 12:35:06,2023-02-17 12:35:12,Survey Preview,,100,6,True,2023-02-17 12:35:14,R_ZjKnouS6Wfjq1Db,,,,,42.8167,-73.9256,preview,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17 12:35:15,2023-02-17 12:35:20,Survey Preview,,100,5,True,2023-02-17 12:35:22,R_ptIv2GIFV2MGgRX,,,,,42.8167,-73.9256,preview,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17 12:35:23,2023-02-17 12:37:21,Survey Preview,,100,117,True,2023-02-17 12:37:22,R_3MS6vZ1aBTyyVlQ,,,,,42.8167,-73.9256,preview,EN,Yes,,d18,F5,V8 (7b/7b+),V9 (7c),V10 (7c+),V4 (6b/6b+),V11 (8a),V6 (6c+/7a),V13 (8b+),V9 (7c),V13 (8b+),V11 (8a),V6 (6c+/7a),V4 (6b/6b+),V4 (6b/6b+),V9 (7c),V13 (8b+),V10 (7c+),V4 (6b/6b+),V13 (8b+),V4 (6b/6b+),V5 (6c),V8 (7b/7b+),V4 (6b/6b+),V7 (7a+),V4 (6b/6b+),V10 (7c+),V6 (6c+/7a),V6 (6c+/7a),V13 (8b+),V11 (8a),V4 (6b/6b+),V13 (8b+),,,
